variant_id,product_id,product_name,current_sku,reference_sku,reference_name,match_confidence,proposed_action,reason
e30c5a3a-5e60-4efe-97e3-455c011a4406,9daa6d8d-7952-442b-9d15-3ff17a52bb2e,Jota 852 Elmas Frez - Mavi Kuşak (Standard) İğne / İnce Konik Genel Preparasyon Frezi,JOT-852-FG-016,JOT-852-FG-016,Jota 852 Elmas Frez - Mavi Kuşak (Standard) İğne / İnce Konik Genel Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
84995940-764d-490d-a016-1f32c14af528,54695448-bf2d-471b-b49e-d8c255f1d752,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,JOT-862-EFFG-010,JOT-862-EFFG-010,Jota 862EF Elmas Frez - Sarı Extra İnce Konik Elmas Frez,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
27d5a091-258b-46dc-86a9-5d9c06597b80,34a66256-1b6c-47c8-972d-8ab962e9f037,Jota ZIR9863M Zirkonya Cilalama Ucu (Polisher) - Step 1,JOT-ZIR9863M-RA-POL,JOT-ZIR9863M-RA-POL,Jota ZIR9863M Zirkonya Cilalama Ucu (Polisher) - Step 1,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
5224c35c-88b8-4c5f-a8fd-f153179d318c,499f5d8e-7606-46a2-9066-206ed3252f82,Jota 852SG Elmas Frez - Siyah Kuşak (Süper Kaba) İğne / İnce Konik Agresif Preparasyon Frezi,JOT-852-SGFG-014,JOT-852-SGFG-014,Jota 852SG Elmas Frez - Siyah Kuşak (Süper Kaba) İğne / İnce Konik Agresif Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
6f63d83e-ac81-4a75-81a3-320f059e5c06,2c274b4c-2f17-4d0d-a843-e2196770e31e,Jota 837LG Elmas Frez - Yeşil Kuşak (Kaba) Uzun Silindirik Hızlı Preparasyon Frezi,JOT-837L-GFG-012,JOT-837L-GFG-012,Jota 837LG Elmas Frez - Yeşil Kuşak (Kaba) Uzun Silindirik Hızlı Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
278ed01c-c04c-4fa6-8377-0a70ba0b2862,2d57d649-c08d-4144-93c2-cb84e08f6d27,Jota 848 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,JOT-848-FG-016,JOT-848-FG-016,Jota 848 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
04ae6d84-0b4a-41af-aa85-4567a2e4ab5d,bed40a8f-9eef-4d12-874b-a5b23969f1a0,Jota 852G Elmas Frez - Yeşil Kuşak (Kaba) İğne / İnce Konik Hızlı Preparasyon Frezi,JOT-852-GFG-018,JOT-852-GFG-018,Jota 852G Elmas Frez - Yeşil Kuşak (Kaba) İğne / İnce Konik Hızlı Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
72d51a91-5a04-4592-9292-5ad413251d56,03e1c613-c12b-4e6a-99e4-1c3851c17342,Jota 859G Elmas Frez - Yeşil Kuşak (Kaba) Uzun İğne Hızlı Preparasyon Frezi,JOT-859-GFG-014,JOT-859-GFG-014,Jota 859G Elmas Frez - Yeşil Kuşak (Kaba) Uzun İğne Hızlı Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
71d17829-907a-41c6-bc68-a4be172484a0,094e4712-586e-4d64-affc-451bc2ca9a1f,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,JOT-801-GFG-023,JOT-801-GFG-023,Jota 801G Elmas Frez - Yeşil Kuşak (Kaba) Yuvarlak (Round) Hızlı Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
e79b5af7-3ef0-4f44-83ec-eb9bd3e4c281,ff65797d-1f71-4f51-8723-2597f5198219,Jota 850 Elmas Frez - Mavi Kuşak (Standard) İnce Konik Genel Preparasyon Frezi,JOT-850-FG-014,JOT-850-FG-014,Jota 850 Elmas Frez - Mavi Kuşak (Standard) İnce Konik Genel Preparasyon Frezi,exact_sku,keep_current_sku,Current SKU already exists in authoritative reference.
