csv_sku,csv_product_name,csv_price,source_file,match_source,db_variant_code,db_manufacturer_ref,db_product_group_code,old_price,new_price
881F.FG.016,JOTA Elmas Frez 881F.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-FFG-016,,88665765-43cd-4455-83ee-144a0e7ffcbe,800,1000
881G.FG.012,JOTA Elmas Frez 881G.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-GFG-012,,d5184976-7cb7-4a30-a8f9-d2a0718c297b,800,1000
881G.FG.014,JOTA Elmas Frez 881G.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-GFG-014,,d5184976-7cb7-4a30-a8f9-d2a0718c297b,800,1000
881G.FG.016,JOTA Elmas Frez 881G.FG.016 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-GFG-016,,d5184976-7cb7-4a30-a8f9-d2a0718c297b,800,1000
881SG.FG.012,JOTA Elmas Frez 881SG.FG.012 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-SGFG-012,,7e164f82-e8c1-4a02-a598-0324e3e741d4,800,1000
881SG.FG.014,JOTA Elmas Frez 881SG.FG.014 (5'li Paket),1000,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-881-SGFG-014,,7e164f82-e8c1-4a02-a598-0324e3e741d4,800,1000
889LF.FG.009,JOTA Elmas Frez 889LF.FG.009 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-889L-FFG-009,,3b98c26b-bea9-48b7-9e6b-1a69810495dd,650,775
890F.FG.010,JOTA Elmas Frez 890F.FG.010 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-890-FFG-010,,06612979-319c-4caa-ae89-ba55e0998b51,650,775
890LF.FG.008,JOTA Elmas Frez 890LF.FG.008 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-890L-FFG-008,,f703f730-4927-46c8-b9f7-6258763d9f14,650,775
895F.FG.016,JOTA Elmas Frez 895F.FG.016 (5'li Paket),775,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-895-FFG-016,,9697966d-793e-463f-aaca-6537883cce20,650,775
Z801L.FG.014,JOTA Elmas Frez Z801L.FG.014 (5'li Paket),2350,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-Z801L-FG-014,,510b8c55-a202-4712-8f7c-bcb672783711,650,2350
Z818.FG.060,JOTA Elmas Frez Z818.FG.060 (5'li Paket),4025,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-Z818-FG-060,,25c70352-439f-49da-b608-c70e76108192,650,4025
Z838L.FG.014,JOTA Elmas Frez Z838L.FG.014 (5'li Paket),2350,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-Z838L-FG-014,,622543a6-17ce-487a-a77e-4ec8a9dd81de,650,2350
Z850.FG.018,JOTA Elmas Frez Z850.FG.018 (5'li Paket),2350,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-Z850-FG-018,,3d697ed0-bd80-41e7-9ac4-e41b6b4de748,650,2350
Z850F.FG.018,JOTA Elmas Frez Z850F.FG.018 (5'li Paket),2350,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-Z850-FFG-018,,8dfcde3a-7f7a-41cd-9787-864763526cdc,650,2350
9501F.RA.030,JOTA Polisaj / Cilalama 9501F.RA.030 (3'li Paket),325,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9501-FRA-030,,a6c2724c-2846-4742-bd4a-5a5ab9742400,400,325
9501G.RA.030,JOTA Polisaj / Cilalama 9501G.RA.030 (2'li Paket),225,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9501-GRA-030,,87a84ca7-86df-42c7-93af-80fd9828bf2d,400,225
9765F.RA.055,JOTA Polisaj / Cilalama 9765F.RA.055 (2'li Paket),1400,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9765-FRA-055,,f3073a73-6716-47b2-83ca-23df67ea71bb,1100,1400
9812F.RA.040,JOTA Polisaj / Cilalama 9812F.RA.040 (2'li Paket),1075,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9812-FRA-040,,95cab2e6-ea0e-43cc-87df-3e0e44a4d7a6,900,1075
9812G.RA.040,JOTA Polisaj / Cilalama 9812G.RA.040 (2'li Paket),1075,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9812-GRA-040,,2d2618f7-d792-4401-b827-6315c5ec58c1,900,1075
9813F.RA.060,JOTA Polisaj / Cilalama 9813F.RA.060 (2'li Paket),1075,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9813-FRA-060,,05c833f5-bbef-48e4-bd7e-85e132901bad,900,1075
9813G.RA.060,JOTA Polisaj / Cilalama 9813G.RA.060 (2'li Paket),1075,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-9813-GRA-060,,42553b7e-9380-452e-b587-f4390b4b598a,900,1075
ZIR9861F.RA.040,JOTA Polisaj / Cilalama ZIR9861F.RA.040 (2'li Paket),1075,imports\jota_2026_tum_urunler_paket_fiyatlari_tl.csv,variant_code,JOT-ZIR9861-FRA-040,,2432458d-040d-41dd-9cc9-6c163ef28c68,900,1075
